tweet_id,user_name,text,latitude,longitude,sentiment
473708333052862464,baw trin,should I do my hair,33.99494313,-118.34668761,0
473708333040283648,javier cruz,@livee_free: Sometimes I wish my room was a big as elevator I won't have to walk down the stairs to go to the kitchen fat much ?,33.89936324,-118.30616113,1.0
473708333564563456,Adriana Pattarroyo,Damn that's hot https://t.co/w7ZRFFozwZ,33.96751843,-118.09947409,-4.0
473708335036776448,Paul Delgado,"Cool, just washed my clothes w/ a red pen and a permanent marker ",33.89607283,-118.07102005,1.0
473708335212929024,"Zita, The Tweeter",Then you realize that you're completely fine without a significant other.,33.8433045,-117.5416678,1.5
473708338509664256,Sara,"""You need to smile more"" You need to shut the fuck up",33.9852215,-118.44516042,-1.0
473708339163955200,Ben Cowart,@Toni_Baloniee nas already went down in the books as one of the greatest lyrical rappers but those are all classics not new shit,34.25094842,-118.53554729,-0.5
473708340506136576,Karina,@AngieM1214 ,33.94848922,-117.98871968,0
473708340468408320,Madison Iseman,"@AlexConstancio pshhhhh whatever you say, you leave LA again without seeing me next time I'll track you down ",34.14156319,-118.39444919,-1.5
473708340355153920,chola,@anemaryls wif who,34.11118103,-117.40852645,0
473708341080768512,REZ,@_TheFranchiseD1 anything u say u ass man lol,34.02314722,-118.26796181,-0.5
473708341600854016,Princess Sassy,Holy crap I'm literally so done with all of this -.- fucking shit,34.06969116,-118.12914887,-3.6666666666666665
473708343815442432,db,"""he's my fucking friend leave him alone""    ""I just thought he was just a friend not a fucking one""",34.19982468,-118.62432715,-2.75
473708343815454720,FURN,Deleting this twitter bye people,33.77545585,-118.17978523,0
473708344297791488,maximillian macias,"Duuuuuuudette let's hang out, I love you, I'm going to miss you next year :(",33.93674476,-117.96499183,0.5
473708345811935232,Joosssaaayyyy,@michellearaly_ who.?,34.24957832,-118.42168048,0
473708348144353280,vanessa,@hellohaleyy_ @jakemiller HAHA! i was so shy &amp; nervous! ,33.96584905,-118.19084681,0.0
473708349599404032,Ki. ,My feelings is hurt ,34.03331272,-118.35358121,-2.0
473708349918162944,XaviJavi,@BeyonceTapia: @JaviGarcai @sumchinny pls don't call her bae it gives me heart pains well like it or not one day she's gonna be MY BAE,34.01246663,-117.49813867,2.0
473708350044008448,Daniel Minaj,@Jdiamondisme is maaaahhhh life !!!,34.08577003,-118.17529553,0
473708350232731648,Glo,never gave a fuck about nothin bruh,33.9647969,-118.2667773,-4.0
473708350794776576,Pauline Miliotis,@midnight Antique Porn Show #RuinARealityShow,34.05655776,-118.26317542,0
473708352946446336,andee,And I'm over here lying like it's all good,34.0268594,-117.7025576,2.5
473708352686403584,Melody Cross,Stupid Cupid lol ! ,34.16892639,-118.37398938,0.5
473708354863247360,boreta (glc o),RIP Sasha Shulgin. Watching the sky tonight to catch you zoom across. Thank you.,34.08688971,-118.27715192,2.0
473708355442475008,.:Chucky:.,Double jeopardy in effect b.,34.0097899,-118.1218569,-2.0
473708355966337025,Gema Parada,I'm thankful for our little infinite that continues to live in my heart   ------   ,33.75174192,-117.88681072,2.0
473708356410937344,                ,Don't be fake just because you know I'm checking.. Keep it up,33.9265508,-118.2828235,-3.0
473708357925089280,Emilia,The words I'm holding back damn,34.27305,-118.4409222,-4.0
473708359099494400,AG,It's crazy how people can change,34.18361433,-118.65279495,-2.0
473708359875436544,Jeremy Kitchen,@cleverdevil @economyofspace I once was in her office!,34.20334524,-118.43485336,0
473708360517156864,isabel martinez,@IFistHoes whaaaat? I really don't lol I don't care for that shit school,34.04086285,-118.38233021,0.3333333333333333
473708360903053312,LynHu$$le.,Watch smoke blow out your mouth shits so amazing.,34.07066161,-117.69592828,4.0
473708361553170432,SOPHI,SOS too many blacked Japanese people at my house,33.86116482,-118.39063508,0
473708361645428736,Michael,Through security and ready to red-eye,33.94567457,-118.40722631,0
473708363331547136,david,@Ullskis yea it's going good thanks ,33.92545353,-118.15162492,2.5
473708368792530946,Henry Lazo,Hashtag #splitsontrees,33.77247503,-118.16387091,0
473708370256338944,Nolan Roles,"But are you a different animal, and the same beast?.... No. No I'm not... I'm sorry @kobebryant",33.92750054,-118.40604944,-1.0
473708370302488578,Princess of Genovia,@amyyyymarieee when you look like Johnny or Darin it is ;) hahaha,34.13177286,-117.67752063,2.5
473708370956791808,Ciicii ,@Givemeyopanties it's true,34.23038751,-118.53361686,2.0
473708372319948801,Angie Ontiveros,Senior prank:  Juniors take the place of the Seniors and graduate while seniors spend another year in high school,33.9337807,-118.2111851,0
473708372860997632,Amanda,I'm waiting for a response,34.13277842,-117.90073889,0
473708374295457792,Vanessa Macias,@_LexLuth0r well then just bring it over ,33.93740267,-118.09127659,0
473708375268524032,YourFriendDillon,111- Nothing to change your dope,33.90892645,-117.5862279,0
473708375784443904,Keenan Henry,@J_y0o @TheBballVines @_ogiKogi Hahahaha his own teammates,33.82317152,-118.31290703,0
473708378598809600,Yung Ant,"If yogurt is alive, does it scream when you eat it?",33.87270369,-117.9116721,-0.5
473708381250002944,Marissa,@Louie_44  omg I could totally picture it,33.978154,-118.0987895,0
473708382625337344,jasminnee,"",34.09895609,-118.00788844,0
473708383933972480,Jay Martz,"""CHAAAAAAANGGGG""",33.82696685,-118.04936404,0
473708384437288960,G Baby ,@_theeblacksheep damm well looks like warriors dancer it is ,33.8250929,-118.3473193,2.0
473708384982544384,Ethan Alloway,I'm going to start a series of these fake subtweets.,33.87358331,-117.93514148,-3.0
473708385318080512,J,"I just wanna go on a date to the top of haven, chill in the back of the truck, look @ the stars, &amp; smoke a blunt",34.13084839,-117.57589272,2.0
473708386345684992,JESSICA,Secretly in love with you,34.02395044,-117.12855627,3.0
473708386337316864,Sharon,@YoMommaKolwer are you coming for my grad?,33.92641572,-118.08809582,0
473708385784066048,lil moco,@whizkhidK but @wenchbucket and @amberadamzzz sad I was,34.13586309,-117.60649664,-2.0
473708387033575425,m.,@Crownthatbitch *pinky promise  this weekend ,34.0037045,-118.1112629,1.0
473708389873119233,baw trin,reniya said wait... but like..,33.99494313,-118.34668761,2.0
473708392121262080,Chain Smoker,Let's go on a trip,34.0278725,-117.9090952,0
473708393811566593,Jessica Torres,My phone is at 16% ....when it dies I will go to sleep,34.04808722,-117.81412211,0
473708393987731456,hamma,twitter wont let me retweet val's selfie like?????,34.2830926,-118.5338019,2.0
473708395908706307,TJ,Ewwww I'm blinded,34.13915175,-117.56829231,0
473708395493875713,Foniie :3,Again !?! (@ Los Angeles International Airport (LAX) - @flylaxairport w/ 159 others) http://t.co/ptygZbU667,33.94389398,-118.40502262,0
473708397628358656,Insane,Iggys body &gt;&gt;   Thats pretty much it ..,34.0785297,-118.2975487,1.0
473708398614040576,v.,I'm craving everything rn lmao,34.04376891,-117.94102383,4.0
473708399545159682,Skyler Rubin,You always wish you had more time when it's all over. Time goes by fast af don't take it for granted. Cherish it while you still can. ,33.86282681,-118.32852045,1.3333333333333333
473708400195280896,-_-,I get more butt than ash trays ,33.88601836,-118.13597194,0
473708400032104448,Ben Foster A ,"@lindsaydemeola alaska young? Nah, don't see it...",34.07648,-118.429544,0
473708400732155904,Justin,@DefinitelyDef awww bro y u aint tell me u was goin,33.85018918,-118.24881847,0
473708400568594433,Joey Ruotolo,@aleenaar Gilbert Grape.,33.69730045,-117.79942983,0
473708401449771009,MICHAEL ,@selenagomez @DeptofDefense @FBIWFO @AFSpecOpsCmd @SecretService WITHOUT MY GLASSES U ASSHOLES MAC KNOWS SURVIVAL MODE PERMANENTLY GHOSTN,34.0979235,-118.3470195,0
473708402300829696,Hope ,Fuck fuck fuckity fuck,33.97642027,-118.07308425,-4.0
473708402602815489,Katie Elsaesser,Holy cow: @missamandastarr: This ocean is too vast for you to just stick a toe in. ~AwesomeKate @TheBakeryLounge  #sherockedit,34.17194104,-118.40758734,0
473708405152968705,Sele,@yo_gabba_gaaaby idgaf it's bomb,34.09450236,-117.42217796,-1.0
473708405157163008,Morgan Rowley,@corinabrianne probably tomorrow night or Wednesday night ,33.68243176,-117.39230968,0
473708406436425728,Mike,"Teach me your ways! ""@DomMeUp94_: Putting hoes back in their lane like its nothing.""",33.8705487,-118.1167041,2.0
473708407099097089,paniz,@saraahgeeee: I ignore hard and sad conversations at all costs,34.22008434,-118.60039389,-1.3333333333333333
473708407271075840,Tatum,Someone call me,34.09320082,-117.67689358,0
473708407317614593,Fareed Ahmed,Lost my mutafucking headphones smh,33.83170625,-117.206885,-3.0
473708408059609088,The Walking Tripod,@VH1PNUT: THOTTY TOO HOTTY niggas stealing my bars now smh,33.90455081,-118.25094623,-5.0
473708409452130305,Dark Skin Clark Kent,"I wanna lift you up by your world,  your booty.",34.1634348,-118.3715515,0
473708410014158848,DEGENERTE PRINCE,This will do lol I guess http://t.co/QHqredFH1l,34.1197467,-117.35607944,3.0
473708411100491777,Jas,I've always loved Moi's singing snaps ,33.74181525,-117.8705124,3.0
473708411218329600,Madss,http://t.co/y3L7HmP8KT,34.17330966,-118.63387141,0
473708414791475200,Karli Rutledge,11:11 make a wish...,33.83349128,-117.81409073,1.0
473708415143800832,morgs ,@lexiemilbyy ,33.85734297,-117.76588528,0
473708415198322688,Jaime,My whale.,34.12169238,-117.57988339,0
473708416284651520,bigboofin,Chowder got four semis loaded up with out bitches already ready,34.09785665,-117.32732328,-5.0
